https://ototoy.jp/news/100355,ホロライブ史上初となる全国流通フルアルバム『Bouquet』リリース決定,2021-02-18T00:15:00Z
https://app.famitsu.com/20210219_1766386/,『カプとれ』ホロライブの人気VTuber“大神ミオ”とのコラボで全3アイテム6種のグッズが登場！,2021-02-19T04:00:37Z
https://anime.eiga.com/news/112950/,VTuberグループ「ホロライブ」異世界創造プロジェクト始動　アニメPV公開,2021-02-18T11:00:00Z
https://www.4gamer.net/games/434/G043480/20210219065/,「カプとれ」，ホロライブ「大神ミオ」とのコラボが決定。人気イラストレーター「泉彩」さんと「LAM」さんによる限定のプライズ景品が登場,2021-02-19T07:46:09Z
https://prtimes.jp/main/html/rd/p/000000379.000030268.html,VTuberグループ「ホロライブ」、バンダイの『ガシャポンオンライン』にて、所属タレントを起用した＜アクリルスイング＞第4弾を、2月19日（金）17時より受注開始！,2021-02-19T06:00:00Z
https://prtimes.jp/main/html/rd/p/000002115.000013450.html,『カプとれ』にてホロライブ「大神ミオ」とのコラボが決定！　描きおろしによる限定のプライズ景品が登場！,2021-02-19T03:00:00Z
https://prtimes.jp/main/html/rd/p/000000373.000030268.html,VTuberグループ「ホロライブ」、オンラインクレーンゲーム「カプとれ」と初コラボ！ 所属VTuber「大神ミオ」とのコラボグッズが2月27日（土）21時より投入開始！,2021-02-19T03:00:00Z
https://japan.cnet.com/release/30521628/,"カバー株式会社hololive IDOL PROJECT 1st Live.『Bloom,』 @東京ガーデンシアター - #花咲くホロライブ オフィシャルライブレポートを公開！",2021-02-19T13:00:00Z
https://thebridge.jp/prtimes/389423,"hololive IDOL PROJECT 1st Live.『Bloom,』 @東京ガーデンシアター – #花咲くホロライブ オフィシャルライブレポートを公開！",2021-02-20T02:18:41Z
https://japan.cnet.com/release/30521346/,カバー株式会社VTuberグループ「ホロライブ」、オンラインクレーンゲーム「カプとれ」と初コラボ！ 所属VTuber「大神ミオ」とのコラボグッズが2月27日（土）21時より投入開始！,2021-02-19T03:00:00Z
https://japan.cnet.com/release/30521615/,株式会社VARK「VR LIVE『Cinderella switch ～ふたりでみるホロライブ～』」第4弾が発表！,2021-02-19T10:36:56Z
https://thebridge.jp/prtimes/389185,VTuberグループ「ホロライブ」×「ラクガキ キングダム 」のコラボ開催決定！,2021-02-18T05:19:04Z
https://thebridge.jp/prtimes/389349,VTuberグループ「ホロライブ」、オンラインクレーンゲーム「カプとれ」と初コラボ！ 所属VTuber「大神ミオ」とのコラボグッズが2月27日（土）21時より投入開始！,2021-02-19T06:18:56Z
https://japan.cnet.com/release/30521072/,カバー株式会社VTuberグループ「ホロライブ」、9週連続オリジナル楽曲リリース最終楽曲となる第9弾を発表！ 第9弾はホロライブタレント総勢9名による『あすいろClearSky』！,2021-02-18T08:00:00Z
https://japan.cnet.com/release/30521328/,株式会社カプコン『カプとれ』にてホロライブ「大神ミオ」とのコラボが決定！　描きおろしによる限定のプライズ景品が登場！,2021-02-19T03:00:00Z
https://japan.cnet.com/release/30521654/,カバー株式会社1対1でスバルとお話しよう！「大空スバルと1対1おはなしイベント！」開催のお知らせ,2021-02-20T03:00:17Z
